AK1, AL3
GJ381, GL378
GJ389, GL384
GJ396, GL399
GJ404, GL408
GJ411, GL415
GJ418, GL421
GJ425, GL421
GJ43, GL47
GJ433, GL428
GJ440, GL436
GJ448, GL452
GJ455, GL459
GJ52, GL47
GJ60, GL57
GJ69, GL64
GJ78, GL82
GJ87, GL92
GJ9, GL6
GJ96, GL100
GP105, GU100
GP114, GU110
GP122, GU118
GP131, GU135
GP140, GU145
GP149, GU153
GP158, GU153
GP16, GU12
GP167, GU163
GP176, GU171
GP184, GU181
GP192, GU196
GP2, GU1
GP200, GU204
GP209, GU214
GP218, GU214
GP227, GU222
GP236, GU231
GP244, GU248
GP25, GU29
GP253, GU257
GP262, GU266
GP271, GU266
GP280, GU275
GP289, GU284
GP297, GU302
GP306, GU310
GP314, GU319
GP324, GU319
GP332, GU328
GP34, GU39
GP342, GU337
GP350, GU355
GP360, GU364
GP367, GU371
GP374, GU371
GP381, GU378
GP389, GU384
GP396, GU399
GP404, GU408
GP411, GU415
GP418, GU421
GP425, GU421
GP43, GU47
GP433, GU428
GP440, GU436
GP448, GU452
GP455, GU459
GP52, GU47
GP60, GU57
GP69, GU64
GP78, GU82
GP87, GU92
GP9, GU6
GP96, GU100
GY105, GU100
GY114, GU110
GY122, GU118
GY131, GU135
GY140, GU145
GY149, GU153
GY158, GU153
GY16, GU12
GY167, GU163
GY176, GU171
GY184, GU181
GY192, GU196
GY2, GU1
GY200, GU204
GY209, GU214
GY218, GU214
GY227, GU222
GY236, GU231
GY244, GU248
GY25, GU29
GY253, GU257
GY262, GU266
GY271, GU266
GY280, GU275
GY289, GU284
GY297, GU302
GY306, GU310
GY314, GU319
GY324, GU319
GY332, GU328
GY34, GU39
GY342, GU337
GY350, GU355
GY360, GU364
GY367, GU371
GY374, GU371
GY381, GU378
GY389, GU384
GY396, GU399
GY404, GU408
GY411, GU415
GY418, GU421
GY425, GU421
GY43, GU47
GY433, GU428
GY440, GU436
GY448, GU452
GY455, GU459
GY52, GU47
GY60, GU57
GY69, GU64
GY78, GU82
GY87, GU92
GY9, GU6
GY96, GU100
HG105, HD100
HG114, HD110
HG122, HD118
HG131, HD135
HG140, HD145
HG149, HD153
HG158, HD153
HG16, HD12
HG167, HD163
HG176, HD171
HG184, HD181
HG192, HD196
HG2, HD1
HG200, HD204
HG209, HD214
HG218, HD214
HG227, HD222
HG236, HD231
HG244, HD248
HG25, HD29
HG253, HD257
HG262, HD266
HG271, HD266
HG289, HD284
HG297, HD302
HG306, HD310
HG314, HD319
HG324, HD319
HG332, HD328
HG34, HD39
HG342, HD337
HG350, HD355
HG360, HD364
HG367, HD371
HG374, HD371
